QP,Br,PSNR
15,21088.3200,70.7989
16,18837.0000,70.6978
17,16716.7200,70.4979
18,14921.7600,70.3009
19,13200.6000,70.0865
20,11600.7600,69.8249
21,10175.5200,69.6342
22,8950.5600,69.3541
23,7835.6400,69.1517
24,6931.0800,68.8514
25,6078.4800,68.5383
26,5269.2000,68.2653
27,4623.3600,67.9327
28,4016.5200,67.5633
29,3502.8000,67.2039
30,3212.2800,66.8405
31,2791.0800,66.2846
32,2450.0400,65.88
33,2121.2400,65.5306
34,1852.3200,64.9806
35,1689.2400,64.3372
