QP,Br,PSNR
15,38543.8800,51.1410
16,35440.8000,50.2791
17,32303.4000,49.4630
18,29501.6400,48.6785
19,26827.4400,47.8687
20,24144.7200,47.0441
21,21841.5600,46.2671
22,19618.5600,45.4805
23,17199.1200,44.7328
24,15363.8400,44.0158
25,13567.0800,43.2333
26,11943.8400,42.4860
27,10479.8400,41.8187
28,9104.7600,41.1428
29,7919.7600,40.4356
30,7113.9600,39.9817
31,6093.2400,39.3791
32,5279.6400,38.7742
33,4602.2400,38.2134
34,3962.7600,37.6561
35,3533.5200,37.2123
