QP,Br,PSNR
15,14732.8800,52.5031
16,13057.3200,51.9356
17,11625.7200,51.3233
18,10293.0000,50.7529
19,9075.4800,50.1594
20,7969.4400,49.5640
21,7042.5600,48.9900
22,6155.7600,48.4279
23,5398.3200,47.8542
24,4772.1600,47.3034
25,4210.4400,46.7567
26,3673.0800,46.1749
27,3245.0400,45.6531
28,2848.6800,45.1573
29,2505.3600,44.5808
30,2237.5200,44.0826
31,1958.6400,43.5805
32,1707.0000,43.0340
33,1488.4800,42.4555
34,1299.1200,41.9493
35,1131.2400,41.4464
