QP,Br,PSNR
15,31940.4000,50.7760
16,28840.8000,50.0261
17,25808.8800,49.2883
18,23084.6400,48.5788
19,20425.9200,47.8631
20,18156.4800,47.1115
21,16018.2000,46.4431
22,14079.1200,45.7795
23,12339.0000,45.1074
24,10823.2800,44.5198
25,9571.0800,43.8416
26,8362.2000,43.2045
27,7363.5600,42.6418
28,6475.4400,42.0806
29,5714.8800,41.4529
30,5082.7200,40.9677
31,4431.0000,40.3882
32,3833.1600,39.8164
33,3366.1200,39.2490
34,2925.8400,38.7168
35,2546.4000,38.1879
