QP,Br,PSNR
15,38543.8800,71.6793
16,35440.8000,71.5492
17,32303.4000,71.2865
18,29501.6400,71.1093
19,26827.4400,70.9023
20,24144.7200,70.6741
21,21841.5600,70.3442
22,19618.5600,70.1466
23,17199.1200,69.7015
24,15363.8400,69.3891
25,13567.0800,69.184
26,11943.8400,68.8875
27,10479.8400,68.4992
28,9104.7600,68.1156
29,7919.7600,67.7816
30,7113.9600,67.3565
31,6093.2400,66.7659
32,5279.6400,66.2814
33,4602.2400,65.9562
34,3962.7600,65.3296
35,3533.5200,64.6852
