index,Dr,AQP,PSNR,BR
0,0.1,15,36.183,22472.16
1,0.1,16,37.788,20810.28
2,0.1,17,37.664,18896.76
3,0.1,18,37.145,17170.92
4,0.1,19,36.264,15405.0
5,0.1,20,34.795,13750.68
6,0.1,21,34.629,12319.2
7,0.1,22,33.376,10938.12
8,0.1,23,32.48,9661.2
9,0.1,24,32.008,8594.64
10,0.1,25,31.44,7575.48
11,0.1,26,30.027,6587.16
12,0.1,27,29.062,5698.32
13,0.1,28,27.73,4931.04
14,0.1,29,26.88,4206.72
15,0.1,30,25.625,3716.76
16,0.1,31,24.12,3219.24
17,0.1,32,23.049,2731.44
18,0.1,33,21.726,2369.88
19,0.1,34,20.178,2073.84
20,0.1,35,18.736,1867.8
