Dr,AQP,PSNR
0.1,15,36.183
0.1,16,37.788
0.1,17,37.664
0.1,18,37.145
0.1,19,36.264
0.1,20,34.795
0.1,21,34.629
0.1,22,33.376
0.1,23,32.48
0.1,24,32.008
0.1,25,31.44
0.1,26,30.027
0.1,27,29.062
0.1,28,27.73
0.1,29,26.88
0.1,30,25.625
0.1,31,24.12
0.1,32,23.049
0.1,33,21.726
0.1,34,20.178
0.1,35,18.736
0.33,15,43.696
0.33,16,43.885
0.33,17,43.154
0.33,18,42.723
0.33,19,41.893
0.33,20,41.147
0.33,21,40.34
0.33,22,39.225
0.33,23,37.535
0.33,24,35.457
0.33,25,36.562
0.33,26,33.892
0.33,27,32.872
0.33,28,30.899
0.33,29,30.167
0.33,30,27.808
0.33,31,26.42
0.33,32,24.688
0.33,33,23.753
0.33,34,22.11
0.33,35,20.292
1,15,55.641
1,16,55.219
1,17,54.334
1,18,53.693
1,19,52.991
1,20,52.121
1,21,50.831
1,22,50.225
1,23,48.131
1,24,46.815
1,25,46.034
1,26,44.757
1,27,43.096
1,28,41.168
1,29,39.844
1,30,37.753
1,31,34.989
1,32,33.127
1,33,30.989
1,34,28.451
1,35,24.98
