QP,Br,PSNR
15,21088.3200,52.0653
16,18837.0000,51.3302
17,16716.7200,50.6255
18,14921.7600,50.0063
19,13200.6000,49.3403
20,11600.7600,48.7050
21,10175.5200,48.0799
22,8950.5600,47.4687
23,7835.6400,46.8641
24,6931.0800,46.2919
25,6078.4800,45.6449
26,5269.2000,45.0692
27,4623.3600,44.4984
28,4016.5200,43.9676
29,3502.8000,43.3496
30,3212.2800,43.0271
31,2791.0800,42.4914
32,2450.0400,41.9856
33,2121.2400,41.4154
34,1852.3200,40.9026
35,1689.2400,40.5807
